Element, g_lbvh.left, g_lbvh.right, g_lbvh.primitiveIdx, g_lbvh.aabbMinX, g_lbvh.aabbMinY, g_lbvh.aabbMinZ, g_lbvh.aabbMaxX, g_lbvh.aabbMaxY, g_lbvh.aabbMaxZ
0,  3,  4, 0,  0.225,  0.235, -0.005,  0.755,  0.775,  0.005
1,  6,  2, 0,  0.225,  0.715, -0.005,  0.275,  0.775,  0.005
2,  7,  8, 0,  0.245,  0.715, -0.005,  0.275,  0.755,  0.005
3,  5,  1, 0,  0.225,  0.245, -0.005,  0.275,  0.775,  0.005
4,  9,  10, 0,  0.745,  0.235, -0.005,  0.755,  0.265,  0.005
5,  0,  0, 0,  0.245,  0.245, -0.005,  0.255,  0.255,  0.005
6,  0,  0, 5,  0.225,  0.765, -0.005,  0.235,  0.775,  0.005
7,  0,  0, 3,  0.245,  0.715, -0.005,  0.255,  0.725,  0.005
8,  0,  0, 4,  0.265,  0.745, -0.005,  0.275,  0.755,  0.005
9,  0,  0, 2,  0.745,  0.235, -0.005,  0.755,  0.245,  0.005
10,  0,  0, 1,  0.745,  0.255, -0.005,  0.755,  0.265,  0.005
